Cores                  : 4
Frequency (MHz)        : 4000
Voltage (V)            : 1.78925
Area (mm^2)            : 307

Time (s)               : .21742500000000000000
Total energy (J)       : 33.56164407284560884601
Energy-Delay Product   : 7.29714046253845650334

Core dynamic energy (J): 19.49865213614137514601
Core static energy (J) : 2.04418407584088750000
L1 dynamic energy (J)  : .01463758152526620000
L1 static energy (J)   : .00484130680800000000
L2 dynamic energy (J)  : 1.99846836521820000000
L2 static energy (J)   : 8.04017646900000000000
L3 dynamic energy (J)  : .00024837006188000000
L3 static energy (J)   : 1.92670294050000000000
Mem dynamic energy (J) : .02272460000000000000
Mem static energy (J)  : .01100822775000000000
