Cores                  : 4
Frequency (MHz)        : 1700
Voltage (V)            : 1.07823
Area (mm^2)            : 189

Time (s)               : .55723529411764705882
Total energy (J)       : 17.29301188342078816236
Energy-Delay Product   : 9.63627656303794860358

Core dynamic energy (J): 7.08098358714555118010
Core static energy (J) : 3.15710861495225999996
L1 dynamic energy (J)  : .03496472821697310000
L1 static energy (J)   : .08474679536470588235
L2 dynamic energy (J)  : .20052989153893800000
L2 static energy (J)   : 1.24268151364705882352
L3 dynamic energy (J)  : .50314786020236000000
L3 static energy (J)   : 4.93791826941176470585
Mem dynamic energy (J) : .02271780000000000000
Mem static energy (J)  : .02821282294117647058
