Cores                  : 4
Frequency (MHz)        : 4000
Voltage (V)            : 1.78925
Area (mm^2)            : 215

Time (s)               : .22652500000000000000
Total energy (J)       : 26.70384071213562475712
Energy-Delay Product   : 6.04908751731652239810

Core dynamic energy (J): 19.50044840061369625712
Core static energy (J) : 2.12974036003153750000
L1 dynamic energy (J)  : .01402443155507100000
L1 static energy (J)   : .00504393250400000000
L2 dynamic energy (J)  : .71051803741204000000
L2 static energy (J)   : 2.06301754100000000000
L3 dynamic energy (J)  : .22254817301928000000
L3 static energy (J)   : 2.02432027525000000000
Mem dynamic energy (J) : .02271060000000000000
Mem static energy (J)  : .01146896075000000000
